SURVEY: CSP
SNID: 2013aa 
IAUC: 2013aa
MWEBV: 0.1461 MW E(B-V) (SF11)
RA:   218.141170 deg
DECL:   -44.224390 deg 
RA_HOST:   218.169750
DEC_HOST:   -44.174420
REDSHIFT_HELIO: 0.004113 +- 0.00015 
REDSHIFT_CMB: 0.0047809 +- 0.00015 
VPEC: 440.8658 +- 250.0
FILTERS: ugriBomn
SEARCH_PEAKMJD: 56349.5
NOBS: 366
NVAR: 7
VARLIST: MJD FILTER FIELD FLUXCAL FLUXCALERR MAG MAGERR
OBS: 56357.40000 i VOID 551569.00000 5616.56000 13.14600 0.01100
OBS: 56358.30000 i VOID 547016.00000 5570.19000 13.15500 0.01100
OBS: 56359.40000 i VOID 544503.00000 4026.86000 13.16000 0.00800
OBS: 56360.40000 i VOID 551569.00000 7158.25000 13.14600 0.01400
OBS: 56364.40000 i VOID 610942.00000 3951.61000 13.03500 0.00700
OBS: 56365.40000 i VOID 629796.00000 6413.13000 13.00200 0.01100
OBS: 56366.30000 i VOID 645654.00000 8981.94000 12.97500 0.01500
OBS: 56367.40000 i VOID 664355.00000 7383.45000 12.94400 0.01200
OBS: 56368.30000 i VOID 684227.00000 10157.80000 12.91200 0.01600
OBS: 56369.30000 i VOID 713839.00000 7933.40000 12.86600 0.01200
OBS: 56370.40000 i VOID 725772.00000 6041.15000 12.84800 0.00900
OBS: 56371.40000 i VOID 730466.00000 6080.22000 12.84100 0.00900
OBS: 56372.40000 i VOID 725772.00000 6041.15000 12.84800 0.00900
OBS: 56373.40000 i VOID 715155.00000 5952.77000 12.86400 0.00900
OBS: 56374.40000 i VOID 697590.00000 5806.57000 12.89100 0.00900
OBS: 56376.40000 i VOID 651628.00000 6029.44000 12.96500 0.01000
OBS: 56377.30000 i VOID 640914.00000 8916.01000 12.98300 0.01500
OBS: 56378.40000 i VOID 576501.00000 8558.54000 13.09800 0.01600
OBS: 56379.30000 i VOID 565979.00000 9461.35000 13.11800 0.01800
OBS: 56380.30000 i VOID 499344.00000 9283.50000 13.25400 0.02000
OBS: 56381.30000 i VOID 474242.00000 7040.44000 13.31000 0.01600
OBS: 56382.40000 i VOID 450817.00000 3752.49000 13.36500 0.00900
OBS: 56384.40000 i VOID 398841.00000 2949.62000 13.49800 0.00800
