VARNAMES: CID REDSHIFT_CMB_ERR
SN: 130945 0.001000
SN: 1309492 0.000500
SN: 1309749 0.005000
SN: 13099 0.000018
SN: 1310338 0.005000
SN: 1310395 0.005000
SN: 1312274 0.000500
SN: 13135 0.000030
SN: 1313594 0.000500
SN: 13136 0.000044
SN: 1314897 0.000500
SN: 1315192 0.005000
SN: 13152 0.000014
SN: 1315259 0.000500
SN: 1315296 0.000500
SN: 1316 0.000024
SN: 1316385 0.000500
SN: 1316431 0.005000
SN: 1316437 0.005000
SN: 1316465 0.000500
SN: 1317164 0.000500
SN: 1317277 0.000500
SN: 1317286 0.005000
SN: 1317454 0.005000
SN: 1317612 0.000500
SN: 1317666 0.000500
SN: 1318142 0.000500
SN: 1318737 0.000500
SN: 1319366 0.000500
SN: 1319821 0.000500
SN: 1320166 0.005000
SN: 1322229 0.000500
SN: 1322979 0.005000
SN: 1324542 0.000500
SN: 1325358 0.005000
SN: 13254 0.000013
SN: 1327978 0.000500
SN: 1328066 0.005000
SN: 1328105 0.000500
SN: 1329166 0.000500
SN: 1329196 0.005000
SN: 1329312 0.000500
SN: 1329615 0.000500
SN: 1330031 0.000500
SN: 1330044 0.000500
SN: 1330426 0.005000
SN: 13305 0.000011
SN: 1330642 0.000500
SN: 1330903 0.000500
SN: 1331123 0.000500
SN: 1331993 0.000500
SN: 1332059 0.005000
SN: 1332413 0.005000
SN: 13327 0.000063
SN: 1333246 0.000500
SN: 1333438 0.000500
SN: 1333483 0.000500
SN: 1334084 0.000500
SN: 1334087 0.000500
SN: 1334302 0.000500
SN: 1334423 0.000500
SN: 1334448 0.000500
SN: 1334470 0.005000
SN: 1334597 0.005000
SN: 1334620 0.000500
SN: 1334623 0.000500
SN: 1334644 0.000500
SN: 1334645 0.000500
SN: 1334707 0.000500
SN: 1334858 0.000500
SN: 1334879 0.005000
SN: 13354 0.000008
SN: 1335472 0.000500
SN: 1335564 0.000500
SN: 1335694 0.005000
SN: 1335717 0.000500
SN: 1335718 0.005000
SN: 1335868 0.005000
SN: 1336002 0.000500
SN: 1336008 0.000500
SN: 1336009 0.000500
SN: 1336272 0.000500
SN: 1336453 0.000500
SN: 1336480 0.000500
SN: 1336662 0.000500
SN: 1336687 0.000500
SN: 1336975 0.005000
SN: 13370 0.000500
SN: 1337117 0.000500
SN: 1337221 0.005000
SN: 1337228 0.000500
SN: 1337272 0.000500
SN: 1337325 0.005000
SN: 1337649 0.000500
SN: 1337655 0.005000
SN: 1337687 0.000500
SN: 1337703 0.000500
SN: 1337838 0.000500
SN: 1338128 0.000500
SN: 1338170 0.000500
SN: 1338233 0.000500
SN: 1338266 0.000500
SN: 1338278 0.000500
SN: 1338387 0.005000
SN: 1338430 0.000500
SN: 1338471 0.000500
SN: 1338649 0.000500
SN: 1338675 0.000500
SN: 1338843 0.005000
SN: 1339002 0.000500
SN: 1339149 0.000500
SN: 1339392 0.000500
SN: 1339450 0.000500
SN: 1340454 0.000500
SN: 13411 0.000500
SN: 1341370 0.005000
SN: 1341894 0.000500
SN: 1342255 0.000500
SN: 13425 0.000119
SN: 1343208 0.000500
SN: 1343337 0.000500
SN: 1343401 0.000500
SN: 1343533 0.000500
SN: 1343759 0.000500
SN: 1343871 0.000500
SN: 1344274 0.000500
SN: 1344692 0.000500
SN: 1345553 0.000500
SN: 1345582 0.005000
SN: 1345594 0.000500
SN: 1345798 0.000500
SN: 1345899 0.000500
SN: 1346137 0.000500
SN: 1346387 0.005000
SN: 1346956 0.000500
SN: 1346966 0.000500
SN: 1347120 0.005000
SN: 13506 0.000019
SN: 13511 0.000029
SN: 13518 0.010000
SN: 13578 0.000500
SN: 13610 0.000009
SN: 13641 0.000500
SN: 13655 0.000059
SN: 13689 0.000012
SN: 1371 0.000026
SN: 13727 0.000021
SN: 13736 0.000022
SN: 13757 0.005000
SN: 13796 0.000022
SN: 13830 0.000037
SN: 13835 0.000012
SN: 13894 0.000500
SN: 13934 0.000043
SN: 13956 0.005000
SN: 140152 0.001000
SN: 140181 0.000008
SN: 14019 0.000500
SN: 14024 0.000044
SN: 14108 0.005000
SN: 14157 0.000500
SN: 14212 0.000047
SN: 14261 0.000022
SN: 14279 0.000011
SN: 14284 0.000048
SN: 14298 0.000500
SN: 14318 0.000012
SN: 14331 0.000016
SN: 14397 0.000029
SN: 14421 0.000027
SN: 14437 0.000038
SN: 14451 0.000500
SN: 14456 0.000041
SN: 14481 0.000023
SN: 14735 0.000022
SN: 14782 0.000500
SN: 14815 0.000017
SN: 14816 0.000017
SN: 14846 0.000025
SN: 14871 0.000500
SN: 14979 0.000500
SN: 14984 0.000500
SN: 150254 0.001000
SN: 150455 0.001000
SN: 150457 0.001000
SN: 150509 0.001000
SN: 150522 0.001000
SN: 151034 0.001000
SN: 15129 0.000053
SN: 15132 0.000016
SN: 151425 0.001000
SN: 15161 0.000041
SN: 15170 0.000500
SN: 15171 0.000500
SN: 15201 0.000037
SN: 15203 0.000071
SN: 15213 0.000500
SN: 15217 0.000128
SN: 15219 0.000021
SN: 15222 0.000052
SN: 15229 0.000500
SN: 15234 0.000017
SN: 15259 0.000110
SN: 15287 0.000083
SN: 15340 0.000500
SN: 15354 0.000500
SN: 15356 0.000101
SN: 15365 0.000019
SN: 15369 0.005000
SN: 15383 0.000063
SN: 15421 0.000015
SN: 15425 0.000035
SN: 15433 0.000029
SN: 15440 0.000043
SN: 15443 0.000015
SN: 15453 0.000500
SN: 15456 0.000500
SN: 15459 0.000016
SN: 15461 0.000030
SN: 15466 0.000053
SN: 15467 0.000034
SN: 15508 0.000030
SN: 15583 0.000500
SN: 15584 0.000034
SN: 15648 0.000041
SN: 15674 0.000500
SN: 15704 0.000039
SN: 15756 0.000065
SN: 15776 0.000063
SN: 1580 0.000012
SN: 15868 0.000023
SN: 15872 0.000025
SN: 15897 0.000089
SN: 15901 0.000178
SN: 16000 0.000500
SN: 160039 0.001000
SN: 160046 0.000021
SN: 160066 0.001000
SN: 160070 0.001000
SN: 160099 0.000013
SN: 160126 0.001000
SN: 160197 0.001000
SN: 160198 0.001000
SN: 160200 0.001000
SN: 16021 0.000022
SN: 160214 0.001000
SN: 160287 0.001000
SN: 16032 0.000500
SN: 16069 0.000038
SN: 16072 0.000053
SN: 16073 0.000014
SN: 16093 0.000027
SN: 16099 0.000033
SN: 16100 0.000500
SN: 16106 0.000500
SN: 16108 0.000500
