VARNAMES: CID HOSTGAL_sSFR
SN: 2003it -9.610460
SN: 2003iv -20.774500
SN: 2003kc -9.138140
SN: 2003kf -9.049690
SN: 2004ap -16.445000
SN: 2004as -9.053470
SN: 2004bg -11.129500
SN: 2004ef -9.278240
SN: 2004eo -9.056690
SN: 2004ey -8.832810
SN: 2004fu -8.830120
SN: 2004gc -10.921000
SN: 2004gs -11.757200
SN: 2004gu -9.861080
SN: 2005ag -9.730400
SN: 2005al -11.129500
SN: 2005am -13.339700
SN: 2005be -20.774500
SN: 2005bg -8.898480
SN: 2005bl -16.445000
SN: 2005bo -12.189300
SN: 2005dv -10.474900
SN: 2005el -8.830120
SN: 2005eq -9.109760
SN: 2005eu -9.049690
SN: 2005hf -14.005500
SN: 2005hj -9.730400
SN: 2005hk -8.830120
SN: 2005iq -9.646670
SN: 2005ir -9.730400
SN: 2005kc -9.730400
SN: 2005ke -10.334400
SN: 2005ki -25.108100
SN: 2005ls -9.242680
SN: 2005lu -9.278240
SN: 2005lz -10.170200
SN: 2005mc -11.135700
SN: 2005ms -11.129500
SN: 2005mz -8.832810
SN: 2005na -8.830120
SN: 2006ac -10.921000
SN: 2006ah -9.722030
SN: 2006ak -10.170200
SN: 2006al -37.115600
SN: 2006an -8.832810
SN: 2006ar -9.109760
SN: 2006ax -10.334400
SN: 2006az -12.567800
SN: 2006bb -12.567800
SN: 2006bd -12.567800
SN: 2006bk -110.772000
SN: 2006bq -11.129500
SN: 2006br -11.129500
SN: 2006bt -12.567800
SN: 2006bu -11.617000
SN: 2006bw -10.921000
SN: 2006bz -12.567800
SN: 2006cc -10.420300
SN: 2006cf -10.318700
SN: 2006cg -16.445000
SN: 2006cj -9.584370
SN: 2006cm -10.513900
SN: 2006cp -8.830120
SN: 2006cq -9.730400
SN: 2006cs -11.129500
SN: 2006ct -9.730400
SN: 2006cz -9.861080
SN: 2006dm -10.513900
SN: 2006ef -11.123400
SN: 2006ej -10.170200
SN: 2006em -11.129500
SN: 2006en -10.513900
SN: 2006eq -9.730400
SN: 2006et -9.278240
SN: 2006eu -11.129500
SN: 2006ev -11.129500
SN: 2006gj -25.556100
SN: 2006gr -12.189300
SN: 2006gt -33.771500
SN: 2006ha -8.832810
SN: 2006hb -12.567800
SN: 2006hx -11.135700
SN: 2006is -8.830120
SN: 2006je -16.888500
