VARNAMES: CID VPEC
SN: 13072 -27.770200
SN: 1307277 -17.948200
SN: 130755 -17.345000
SN: 1307830 4.429200
SN: 1308314 4.730800
SN: 1308326 -22.270100
SN: 1308568 -11.166900
SN: 1308582 -17.533100
SN: 130862 -16.714800
SN: 1308751 14.523200
SN: 1308884 15.382300
SN: 1308957 -10.600300
SN: 1309288 7.334600
SN: 130943 -31.421200
SN: 130945 -34.285000
SN: 1309492 4.771300
SN: 1309749 1.994700
SN: 13099 -28.633500
SN: 1310338 -14.143800
SN: 1310395 -19.340000
SN: 1312274 -17.234800
SN: 13135 -63.768400
SN: 1313594 -20.622100
SN: 13136 -22.672900
SN: 1314897 -19.116100
SN: 1315192 -28.722300
SN: 13152 -38.118700
SN: 1315259 -28.093800
SN: 1315296 -17.800300
SN: 1316 -29.714400
SN: 1316385 8.835400
SN: 1316431 -32.593400
SN: 1316437 -15.594000
SN: 1316465 4.637200
SN: 1317164 -37.035600
SN: 1317277 -24.372600
SN: 1317286 -19.807700
SN: 1317454 7.791600
SN: 1317612 31.568600
SN: 1317666 -37.790000
SN: 1318142 13.857900
SN: 1318737 -69.296500
SN: 1319366 -27.772900
SN: 1319821 6.408000
SN: 1320166 10.242800
SN: 1322229 -13.425700
SN: 1322979 3.070000
SN: 1324542 3.889700
SN: 1325358 2.682300
SN: 13254 -35.402800
SN: 1327978 19.879300
SN: 1328066 9.024800
SN: 1328105 10.186100
SN: 1329166 2.797300
SN: 1329196 2.792700
SN: 1329312 -17.716400
SN: 1329615 -15.607600
SN: 1330031 32.667700
SN: 1330044 10.608700
SN: 1330426 6.797100
SN: 13305 -28.708500
SN: 1330642 -11.441100
SN: 1330903 -13.758000
SN: 1331123 16.846800
SN: 1331993 -10.302400
SN: 1332059 -13.206500
SN: 1332413 -10.996900
SN: 13327 -24.481100
SN: 1333246 -17.223100
SN: 1333438 4.605300
SN: 1333483 6.024700
SN: 1334084 -44.649600
SN: 1334087 -25.736600
SN: 1334302 9.829100
SN: 1334423 -20.100800
SN: 1334448 -13.309000
SN: 1334470 -13.153300
SN: 1334597 -21.970500
SN: 1334620 -27.539900
SN: 1334623 -17.559600
SN: 1334644 -20.615300
SN: 1334645 -23.010800
SN: 1334707 2.848700
SN: 1334858 2.602200
SN: 1334879 2.772700
SN: 13354 -43.647800
SN: 1335472 9.401300
SN: 1335564 -10.862700
SN: 1335694 -25.625800
SN: 1335717 5.319900
SN: 1335718 2.651300
SN: 1335868 2.400600
SN: 1336002 10.809600
SN: 1336008 10.464200
SN: 1336009 13.697200
SN: 1336272 6.228800
SN: 1336453 -33.853700
SN: 1336480 -25.702300
SN: 1336662 8.594600
SN: 1336687 -23.982100
SN: 1336975 10.938300
SN: 13370 -37.501100
SN: 1337117 8.511500
SN: 1337221 6.942400
SN: 1337228 7.912400
SN: 1337272 -13.179400
SN: 1337325 -11.293700
SN: 1337649 -26.405600
SN: 1337655 -8.880400
SN: 1337687 4.405900
SN: 1337703 2.790600
SN: 1337838 -18.573600
SN: 1338128 13.741900
SN: 1338170 10.918400
SN: 1338233 -11.394700
SN: 1338266 -10.600600
SN: 1338278 -12.354200
SN: 1338387 -13.624800
SN: 1338430 -14.493700
SN: 1338471 -13.925700
SN: 1338649 -12.850500
SN: 1338675 -18.745500
SN: 1338843 9.214800
SN: 1339002 -18.931100
SN: 1339149 -13.645500
SN: 1339392 9.037300
SN: 1339450 3.859900
SN: 1340454 4.133000
SN: 13411 -26.001500
SN: 1341370 11.653800
SN: 1341894 -20.152600
SN: 1342255 -30.637200
SN: 13425 -31.084000
SN: 1343208 3.679700
SN: 1343337 5.600600
SN: 1343401 -16.431800
SN: 1343533 10.792300
SN: 1343759 3.469800
SN: 1343871 -12.302500
SN: 1344274 -38.935800
SN: 1344692 -16.183200
SN: 1345553 -19.866700
SN: 1345582 -14.879200
SN: 1345594 -15.285500
SN: 1345798 -18.163300
SN: 1345899 14.959600
SN: 1346137 3.511500
SN: 1346387 5.003200
SN: 1346956 5.719600
SN: 1346966 6.229100
SN: 1347120 9.068500
SN: 13506 -30.852500
SN: 13511 -28.186200
SN: 13518 -27.147600
SN: 13578 -35.025400
SN: 13610 -20.197000
SN: 13641 -31.137600
SN: 13655 -26.140100
SN: 13689 -32.427200
SN: 1371 -55.393900
SN: 13727 -21.751600
SN: 13736 -42.108800
SN: 13757 -25.338000
SN: 13796 -47.132400
SN: 13830 -23.573000
SN: 13835 -31.945400
SN: 13894 -55.879500
SN: 13934 -21.857900
SN: 13956 -30.871400
SN: 140152 -38.681200
SN: 140181 -41.293900
SN: 14019 -20.358100
SN: 14024 -31.207400
SN: 14108 -37.116200
SN: 14157 -29.239400
SN: 14212 -30.068300
SN: 14261 -21.286300
SN: 14279 -166.742100
SN: 14284 -32.093100
SN: 14298 -17.896200
SN: 14318 14.337500
SN: 14331 -35.306700
SN: 14397 -22.641500
SN: 14421 -41.936700
SN: 14437 -36.379200
SN: 14451 -20.629100
SN: 14456 -23.400000
SN: 14481 -32.653400
SN: 14735 -25.319200
SN: 14782 -25.011800
SN: 14815 -33.552100
SN: 14816 -53.871700
SN: 14846 -35.121600
SN: 14871 -40.357300
SN: 14979 -31.945500
SN: 14984 -21.140100
SN: 150254 -18.877600
SN: 150455 -59.388000
SN: 150457 -28.150600
SN: 150509 -30.723300
SN: 150522 24.283700
SN: 151034 -33.354300
SN: 15129 -23.629600
SN: 15132 -36.228200
SN: 151425 -28.236600
SN: 15161 -29.869400
SN: 15170 -15.027500
SN: 15171 -19.261300
SN: 15201 -31.113600
SN: 15203 -37.990100
SN: 15213 -19.677800
SN: 15217 -22.185000
SN: 15219 -29.773100
SN: 15222 -39.184800
SN: 15229 -35.735000
SN: 15234 -53.924000
SN: 15259 -30.452800
SN: 15287 -21.671300
SN: 15340 -41.960300
SN: 15354 -35.134900
SN: 15356 -24.359700
SN: 15365 -40.578500
SN: 15369 -30.749900
SN: 15383 -24.054300
SN: 15421 -38.589700
SN: 15425 -33.658100
SN: 15433 -35.208300
SN: 15440 -27.008200
SN: 15443 -32.018600
SN: 15453 -24.565800
SN: 15456 -16.803300
SN: 15459 -46.771000
SN: 15461 -28.823100
SN: 15466 -19.291800
SN: 15467 -23.192500
SN: 15508 -50.233200
SN: 15583 -39.641200
SN: 15584 -25.079500
SN: 15648 -23.059400
SN: 15674 -34.181600
SN: 15704 -20.550100
SN: 15756 -22.059900
SN: 15776 -23.520000
SN: 1580 -33.411500
SN: 15868 -27.680800
SN: 15872 -33.392100
SN: 15897 -41.785400
SN: 15901 -34.670800
SN: 16000 -21.393100
SN: 160039 -20.060500
SN: 160046 -68.178600
SN: 160066 -10.574900
SN: 160070 -26.289800
SN: 160099 -60.665800
SN: 160126 -24.179600
SN: 160197 -25.657200
SN: 160198 -26.246200
SN: 160200 -22.430000
SN: 16021 -56.095300
SN: 160214 -13.722100
SN: 160287 -15.167200
SN: 16032 -31.257700
SN: 16069 -46.417900
SN: 16072 -27.510000
SN: 16073 -46.022900
SN: 16093 -24.280400
SN: 16099 -36.347600
SN: 16100 -36.669400
SN: 16106 -23.699700
SN: 16108 -15.963800
SN: 16116 -43.888100
SN: 16165 -39.822500
SN: 16185 -65.859700
SN: 16206 -46.283400
SN: 16211 -24.839500
SN: 16213 -32.038800
SN: 16215 -210.529400
SN: 16232 -21.935800
SN: 16259 -57.306600
SN: 16276 -40.086600
SN: 16280 74.714500
SN: 16281 -38.065500
SN: 16287 -51.665800
SN: 16314 -33.080600
SN: 16333 -60.917200
SN: 16350 -21.676500
SN: 16352 -28.020000
SN: 16357 -17.049300
SN: 16392 -179.423700
SN: 16402 -25.412400
SN: 16414 -23.561700
SN: 16421 -20.513700
SN: 16442 -21.273600
SN: 16473 -27.278500
SN: 16482 -28.443600
SN: 16541 -36.477300
SN: 16567 -22.402400
SN: 16578 -16.972700
SN: 16618 -37.580100
SN: 16619 -56.131900
SN: 16631 -25.379800
SN: 16637 -32.480100
SN: 16641 -53.916800
SN: 16644 -24.458200
SN: 16692 -204.356100
SN: 16737 -19.051200
SN: 16748 -33.496400
SN: 16758 -23.267900
SN: 16774 -34.013200
SN: 16776 -27.575500
SN: 16779 -17.800000
SN: 16781 -18.857200
SN: 16789 -21.757500
SN: 16793 -28.594100
SN: 16836 -24.765100
SN: 16847 -28.907600
SN: 16872 -43.131000
SN: 1688 -15.570700
SN: 16894 -19.340300
SN: 16899 -21.551700
SN: 16938 -20.351300
SN: 16953 -25.185700
SN: 16956 -22.805400
SN: 170078 -16.955100
SN: 170428 -29.985200
SN: 17048 -35.070700
SN: 170532 -71.995300
SN: 17081 -28.663200
SN: 17106 -30.719800
SN: 17117 -43.581700
SN: 17168 -33.728000
SN: 17171 -31.287800
SN: 17174 24.870100
SN: 17176 -58.390100
SN: 17186 -72.372000
SN: 17208 -52.107500
SN: 17215 -31.418100
SN: 17218 -41.032400
SN: 17220 -42.128700
SN: 17223 -31.645300
SN: 17240 -82.049800
SN: 17253 -47.921500
SN: 17258 -68.879800
SN: 17263 -97.628800
SN: 17274 -38.557900
SN: 17280 -38.666400
SN: 17332 -34.677700
SN: 17340 -27.345300
SN: 17366 -27.986200
SN: 17389 -28.269400
SN: 17391 -36.615800
SN: 17435 -35.435100
SN: 17460 -27.172500
SN: 17464 -31.474300
SN: 17497 -43.393200
SN: 17500 -163.161400
SN: 17528 -10.953700
SN: 17552 -19.947600
SN: 17568 -27.225600
SN: 17605 -23.717300
SN: 17629 -47.527900
SN: 17745 -62.778900
SN: 17784 -297.735200
SN: 17790 -14.667800
SN: 17791 -23.028500
SN: 17801 -20.578900
SN: 17809 -27.547000
SN: 17811 -35.481900
SN: 17825 -40.975800
SN: 17875 -34.836600
SN: 17880 -73.508100
SN: 17884 -33.091400
SN: 17886 -415.609200
SN: 1794 -30.015700
SN: 180166 -54.986700
SN: 18030 -46.431700
SN: 180313 -20.087600
SN: 180561 -29.191100
SN: 18091 -22.851700
SN: 18241 -33.993400
SN: 18298 -57.058900
SN: 18323 -48.479400
SN: 18325 -31.479400
SN: 18375 -62.360100
SN: 18415 -47.361500
SN: 18456 -33.359200
SN: 18463 -30.441900
SN: 18466 -28.879900
SN: 18485 -22.439300
SN: 18486 -24.699100
SN: 18602 -45.308900
SN: 18604 -37.691100
SN: 18612 -61.606300
SN: 18617 -23.809800
SN: 18650 -45.086300
SN: 18697 -61.710500
SN: 18721 -21.247500
SN: 18740 -49.087800
SN: 18749 -41.027300
SN: 18751 -88.344300
SN: 18768 -39.762800
SN: 18782 -19.784900
SN: 18787 -36.756900
SN: 18804 -37.054800
SN: 18807 -33.942100
SN: 18809 -42.500100
SN: 18835 -42.529200
SN: 18839 -14.979200
SN: 18855 -44.354200
SN: 18890 -155.211000
SN: 18927 -28.836800
SN: 18940 -37.213200
SN: 18945 -29.655800
SN: 18965 -38.883000
SN: 19002 -24.927900
SN: 19003 -38.829800
SN: 19008 -25.355100
SN: 190209 -19.033200
SN: 19023 -14.362000
SN: 190230 -42.034400
SN: 190237 -38.794900
SN: 19025 -12.782200
SN: 190260 -38.903800
SN: 19027 -20.517000
SN: 19029 -19.607500
SN: 19033 -12.418100
SN: 190340 -42.345600
SN: 19051 -28.051900
SN: 19070 -15.524200
SN: 19101 -38.423700
SN: 19128 -26.443800
SN: 19149 -34.099200
SN: 19155 -76.579800
SN: 19174 -45.228300
SN: 19207 -23.810200
SN: 19211 -10.768700
SN: 19230 -28.750100
SN: 19282 -41.783000
SN: 19341 -33.745000
SN: 19353 -40.829400
SN: 19381 -29.529400
SN: 19543 -55.717300
SN: 19596 -21.204400
SN: 19604 -28.436200
SN: 19616 -40.684400
SN: 19626 -53.808800
SN: 19632 -23.121900
SN: 19658 -38.333000
SN: 19702 -24.933100
SN: 1972E 508.527100
SN: 19757 -20.730800
SN: 19775 -33.228500
SN: 19794 -27.376300
SN: 1980N -67.508600
SN: 19818 -25.118400
SN: 1981B 97.876200
SN: 1981D -191.491800
SN: 1986G 508.527100
SN: 19899 -61.331000
SN: 1989B 447.644300
SN: 1990N 308.576600
SN: 1990O 6.115800
SN: 1990T 213.270800
SN: 1990Y 32.922700
SN: 1990af 238.031800
SN: 19913 -29.856000
SN: 1991M -185.684600
SN: 1991S -119.077800
SN: 1991T 84.584000
SN: 1991U 445.916600
SN: 1991ag 256.902400
SN: 1991bg 308.576600
SN: 1992A -67.508600
SN: 1992G -242.468400
SN: 1992J 132.710100
SN: 1992K 598.279900
SN: 1992P -272.652700
SN: 1992ae 104.461100
SN: 1992ag 21.826900
SN: 1992al 134.760300
SN: 1992aq 24.457400
SN: 1992au 57.939600
SN: 1992bc -87.899100
SN: 1992bg 169.301700
SN: 1992bh 202.276400
SN: 1992bk 470.250200
SN: 1992bl 167.010600
SN: 1992bo -8.527900
SN: 1992bp -10.128500
SN: 1992br 70.278900
SN: 1992bs -4.474100
SN: 1993B 146.874600
