VARNAMES: CID REDSHIFT_CMB
SN: 1241 0.088480
SN: 1248677 0.350168
SN: 1248907 0.170534
SN: 1249851 0.215111
SN: 1250017 0.182168
SN: 1253 0.261659
SN: 1253039 0.453474
SN: 1253101 0.453326
SN: 1253920 0.195558
SN: 1255502 0.148190
SN: 1256823 0.440847
SN: 1257366 0.211366
SN: 1257695 0.183830
SN: 1258906 0.349180
SN: 1258940 0.425938
SN: 1259412 0.304774
SN: 1261059 0.332916
SN: 1261086 0.037598
SN: 1261579 0.322144
SN: 1262128 0.113239
SN: 1262214 0.689374
SN: 1262715 0.689368
SN: 1263369 0.312519
SN: 1263715 0.291861
SN: 1266657 0.321081
SN: 1273127 0.189370
SN: 1275946 0.232119
SN: 1276528 0.246191
SN: 1277168 0.129060
SN: 12779 0.078908
SN: 1277971 0.199526
SN: 12780 0.048247
SN: 12781 0.082822
SN: 1279500 0.234707
SN: 1280201 0.016784
SN: 1280217 0.359006
SN: 1280240 0.059629
SN: 1281668 0.306974
SN: 1281886 0.383935
SN: 1282736 0.377980
SN: 1282757 0.279087
SN: 1283373 0.207538
SN: 1283724 0.069636
SN: 1283878 0.312868
SN: 1283923 0.146315
SN: 1283936 0.368625
SN: 12841 0.292075
SN: 12843 0.165951
SN: 1284587 0.148176
SN: 12851 0.248075
SN: 1285160 0.749319
SN: 12853 0.168172
SN: 1285317 0.564415
SN: 12855 0.169332
SN: 12856 0.170286
SN: 12860 0.120423
SN: 1286398 0.150514
SN: 12869 0.278066
SN: 1287626 0.303960
SN: 12881 0.236708
SN: 12883 0.305192
SN: 1289288 0.290012
SN: 1289555 0.561743
SN: 1289600 0.419621
SN: 1289656 0.539438
SN: 1289664 0.259078
SN: 12897 0.016546
SN: 12898 0.082550
SN: 1290127 0.452228
SN: 1290568 0.449460
SN: 12907 0.130874
SN: 1290779 0.389508
SN: 1290816 0.218476
SN: 1291080 0.443843
SN: 1291090 0.291991
SN: 1291639 0.101566
SN: 1291794 0.395124
SN: 1291957 0.371434
SN: 1292145 0.492460
SN: 1292195 0.829304
SN: 1292315 0.113279
SN: 1292332 0.272653
SN: 1292336 0.233558
SN: 1292560 0.224823
SN: 12927 0.188917
SN: 12928 0.138680
SN: 12930 0.146065
SN: 1293319 0.296870
SN: 1293758 0.148121
SN: 1294014 0.362715
SN: 1294137 0.470859
SN: 1294743 0.312580
SN: 12950 0.081415
SN: 1295027 0.425617
SN: 1295256 0.442463
SN: 1295305 0.611711
SN: 1295921 0.523928
SN: 1296273 0.396978
SN: 1296321 0.184441
SN: 1296657 0.146243
SN: 1297026 0.258550
SN: 12971 0.233809
SN: 12972 0.259353
SN: 1297465 0.277842
SN: 1297501 0.214921
SN: 12977 0.246431
SN: 1298281 0.235081
SN: 12983 0.263951
SN: 1298893 0.196163
SN: 1299643 0.376781
SN: 1299775 0.160087
SN: 1299785 0.381315
SN: 13005 0.126223
SN: 1300516 0.310431
SN: 1300912 0.337801
SN: 1301933 0.329600
SN: 1302058 0.197858
SN: 1302117 0.492381
