SURVEY: ASASSN
SNTYPE: 1
SNID: 2018gv 
IAUC: 2018gv
RA:   121.394210 deg
DECL:   -11.437860 deg 
RA_HOST:   121.408500
DEC_HOST:   -11.427030
REDSHIFT_HELIO: 0.005374 +- 0.00015 
REDSHIFT_CMB: 0.0062362 +- 0.00015 
VPEC: -70.4303 +- 250.0
FILTERS: abcdghij
SEARCH_PEAKMJD: 58147
MWEBV: .0498206
NOBS: 211
NVAR: 7
VARLIST: MJD FLT FIELD MAG MAGERR FLUXCAL FLUXCALERR
OBS: 58226.00600000 d NULL 15.8790 0.0510 44504.09766 2091.24806
OBS: 58233.74580000 d NULL 16.0800 0.0690 36982.81798 2351.89034
OBS: 58243.43130000 d NULL 16.3920 0.0460 27745.97560 1175.88116
OBS: 58135.30550000 i NULL 15.7264 0.0420 51220.05023 1981.86140
OBS: 58136.30560000 i NULL 15.2034 0.0470 82916.31638 3590.45235
OBS: 58137.29880000 i NULL 14.7374 0.0470 127362.03804 5515.04635
OBS: 58142.42350000 i NULL 13.4114 0.0520 431956.48650 20695.93457
OBS: 58144.38180000 i NULL 13.2204 0.0550 515038.86230 26101.41763
OBS: 58146.38500000 i NULL 13.1094 0.0560 570479.44378 29437.18298
OBS: 58151.42350000 i NULL 13.0114 0.0710 624367.08482 40858.60299
OBS: 58153.42340000 i NULL 13.0244 0.0610 616935.83902 34679.59116
OBS: 58155.42320000 i NULL 13.0804 0.0600 585922.26301 32395.74383
OBS: 58157.39140000 i NULL 13.1894 0.0500 529956.22762 24414.01343
OBS: 58164.42360000 i NULL 13.6804 0.0590 337163.07031 18330.79970
OBS: 58191.19590000 i NULL 14.6954 0.0530 132385.37196 6464.93280
OBS: 58196.11280000 i NULL 14.8994 0.0510 109708.42998 5155.20039
OBS: 58198.11010000 i NULL 14.9874 0.0590 101167.26285 5500.23711
OBS: 58201.15370000 i NULL 15.0914 0.0560 91926.34651 4743.47097
OBS: 58212.14690000 i NULL 15.4504 0.0560 66045.00844 3407.97380
OBS: 58213.14680000 i NULL 15.4854 0.0600 63949.91919 3535.80215
OBS: 58216.17620000 i NULL 15.5884 0.0590 58162.08945 3162.14232
OBS: 58221.18680000 i NULL 15.7624 0.0610 49549.58256 2785.31276
OBS: 58227.14760000 i NULL 15.9394 0.0650 42095.91948 2521.67104
OBS: 58229.14760000 i NULL 15.9894 0.0680 40201.29100 2519.46587
OBS: 58243.19580000 i NULL 16.4314 0.0870 26757.15904 2146.34528
END:
